filename,width,height,class,xmin,ymin,xmax,ymax
Screenshot_2.jpg,1919,1019,tree,774,6,1108,998
Screenshot_2.jpg,1919,1019,tree,1597,2,1900,699
Screenshot_2.jpg,1919,1019,cross,917,275,1038,366
Screenshot_2.jpg,1919,1019,tree,1275,2,1435,438
Screenshot_2.jpg,1919,1019,tree,1401,5,1631,441
Screenshot_2.jpg,1919,1019,tree,350,8,438,251
Screenshot_2.jpg,1919,1019,tree,475,34,564,220
Screenshot_2.jpg,1919,1019,tree,250,227,764,382
Screenshot_2.jpg,1919,1019,tree,640,45,751,313
Screenshot_2.jpg,1919,1019,tree,228,19,303,247
