filename,width,height,class,xmin,ymin,xmax,ymax
Без названия (2).jpg,300,168,tree,94,1,111,132
Без названия (2).jpg,300,168,tree,114,1,131,118
Без названия (2).jpg,300,168,tree,159,1,189,116
Без названия (2).jpg,300,168,tree,204,1,233,109
Без названия (2).jpg,300,168,tree,236,1,287,99
Без названия (2).jpg,300,168,tree,276,1,296,96
Без названия (2).jpg,300,168,tree,1,16,46,123
Без названия (2).jpg,300,168,tree,47,36,71,128
Без названия (2).jpg,300,168,tree,35,47,57,116
Без названия (2).jpg,300,168,tree,21,67,43,117
Без названия (2).jpg,300,168,tree,13,69,38,107
