filename,width,height,class,xmin,ymin,xmax,ymax
rust-forests-3.jpg,620,300,tree,144,5,185,204
rust-forests-3.jpg,620,300,tree,247,73,312,190
rust-forests-3.jpg,620,300,tree,509,70,573,162
rust-forests-3.jpg,620,300,tree,444,65,470,151
rust-forests-3.jpg,620,300,tree,529,119,547,151
rust-forests-3.jpg,620,300,tree,269,146,292,184
rust-forests-3.jpg,620,300,tree,161,94,168,197
rust-forests-3.jpg,620,300,tree,1,1,62,229
rust-forests-3.jpg,620,300,tree,411,103,429,175
rust-forests-3.jpg,620,300,tree,327,97,351,167
